,Active Players,Age,Pos.,Status,Adj. Salary
8373,Jose Berrios,28,SP,Vet,"$10,714,285"
8374,Teoscar Hernandez,29,DH,Arb 2,"$10,650,000"
8375,Randal Grichuk,30,RF,Vet,"$10,333,333"
8376,Edwin Diaz,28,RP/CL,Arb 3,"$10,200,000"
8377,Dansby Swanson,28,SS,Arb 3,"$10,000,000"
8378,Wade Miley,35,SP,Vet,"$10,000,000"
8379,Ryan Pressly,33,RP/CL,Vet,"$10,000,000"
8380,Eduardo Escobar,33,3B,Vet,"$10,000,000"
8381,Ke'Bryan Hayes,25,3B,Vet,"$10,000,000"
8382,Yadier Molina,39,C,Vet,"$10,000,000"
8383,Sean Manaea,30,SP,Arb 4,"$9,750,000"
8384,Willson Contreras,30,C,Arb 3,"$9,625,000"
8385,Eddie Rosario,30,LF,Vet,"$9,000,000"
8386,Gary Sanchez,29,C,Arb 3,"$9,000,000"
8387,Alex Cobb,34,SP,Vet,"$9,000,000"
8388,Chris Bassitt,33,SP,Arb 3,"$8,650,000"
8389,Joe Musgrove,29,SP,Arb 3,"$8,625,000"
8390,Tyler Anderson,32,SP,Vet,"$8,500,000"
8391,Andrew Heaney,31,SP,Vet,"$8,500,000"
8392,Kolten Wong,31,2B,Vet,"$8,500,000"
8393,Andrew McCutchen,35,DH,Vet,"$8,500,000"
8394,Mike Clevinger,31,SP,Vet,"$8,500,000"
8395,Steven Matz,31,RP,Vet,"$8,500,000"
8396,James McCann,32,C,Vet,"$8,150,000"
8397,Matt Barnes,32,RP,Vet,"$8,125,000"
8398,Travis d'Arnaud,33,C,Vet,"$8,000,000"
8399,Seiya Suzuki,27,RF,Vet,"$8,000,000"
8400,Kendall Graveman,31,RP,Vet,"$8,000,000"
8401,Yulieski Gurriel,38,1B,Vet,"$8,000,000"
8402,Hector Neris,33,RP,Vet,"$8,000,000"
8403,Julio Urias,25,SP,Arb 2,"$8,000,000"
8404,Kyle Gibson,34,SP,Vet,"$8,000,000"
8405,Adam Frazier,30,2B,Arb 3,"$8,000,000"
8406,Vladimir Guerrero Jr.,23,1B,Arb 1,"$7,900,000"
8407,Tucker Barnhart,31,C,Vet,"$7,750,000"
8408,Trevor May,32,RP,Vet,"$7,750,000"
8409,Mitch Haniger,31,RF,Arb 3,"$7,750,000"
8410,Rhys Hoskins,29,1B,Arb 2,"$7,700,000"
8411,Hunter Renfroe,30,RF,Arb 3,"$7,650,000"
8412,Jonathan Schoop,30,2B,Vet,"$7,500,000"
8413,Aaron Loup,34,RP,Vet,"$7,500,000"
8414,Lucas Giolito,27,SP,Arb 2,"$7,450,000"
8415,Pete Alonso,27,1B,Arb 1,"$7,400,000"
8416,Noah Syndergaard,29,SP,Vet,"$7,384,640"
8417,Eloy Jimenez,25,LF,Vet,"$7,333,333"
8418,Jurickson Profar,29,LF,Vet,"$7,333,333"
8419,C.J. Cron,32,1B,Vet,"$7,250,000"
8420,Mark Melancon,37,RP/CL,Vet,"$7,000,000"
8421,Enrique Hernandez,30,CF,Vet,"$7,000,000"
8422,Michael Wacha,31,SP,Vet,"$7,000,000"
8423,Joe Kelly,34,RP,Vet,"$7,000,000"
8424,Kyle Freeland,29,SP,Vet,"$7,000,000"
8425,Ryan Tepera,34,RP,Vet,"$7,000,000"
8426,Brandon Nimmo,29,CF,Arb 3,"$7,000,000"
8427,Taijuan Walker,29,SP,Vet,"$7,000,000"
8428,Ha-seong Kim,26,SS,Pre-Arb,"$7,000,000"
8429,Max Fried,28,SP,Arb 2,"$6,850,000"
8430,Ian Happ,27,LF,Arb 2,"$6,850,000"
8431,Brandon Woodruff,29,SP,Arb 2,"$6,800,000"
8432,Michael Lorenzen,30,SP,Vet,"$6,750,000"
8433,Bryan Reynolds,27,CF,Vet,"$6,750,000"
8434,Giovanny Urshela,30,3B,Arb 2,"$6,550,000"
8435,Corbin Burnes,27,SP,Arb 1,"$6,500,000"
8436,Gleyber Torres,25,2B,Arb 2,"$6,250,000"
8437,Paul DeJong,28,SS,Vet,"$6,166,666"
8438,Juan Soto,23,RF,Arb 2,"$6,013,184"
8439,Jordan Lyles,31,SP,Vet,"$6,000,000"
8440,Yan Gomes,34,C,Vet,"$6,000,000"
8441,Shane Bieber,27,SP,Arb 1,"$6,000,000"
8442,Andrew Chafin,32,RP,Vet,"$6,000,000"
8443,Brad Hand,32,RP,Vet,"$6,000,000"
8444,Nick Martinez,31,RP,Vet,"$6,000,000"
8445,Robert Suarez,31,RP,Pre-Arb,"$6,000,000"
8446,J.P. Crawford,27,SS,Vet,"$6,000,000"
8447,Jeimer Candelario,28,3B,Arb 2,"$5,800,000"
8448,Jameson Taillon,30,SP,Arb 3,"$5,800,000"
8449,Marco Gonzales,30,SP,Vet,"$5,750,000"
8450,Manuel Margot,27,RF,Arb 3,"$5,600,000"
8451,Merrill Kelly,33,SP,Vet,"$5,583,333"
8452,Zach Eflin,28,RP,Arb 3,"$5,550,000"
8453,Rich Hill,42,SP,Vet,"$5,500,000"
8454,Leury Garcia,31,2B,Vet,"$5,500,000"
8455,Shohei Ohtani,27,SP,Arb 2,"$5,500,000"
8456,Miguel Rojas,33,SS,Vet,"$5,500,000"
8457,Yimi Garcia,31,RP,Vet,"$5,500,000"
8458,Jose Leclerc,28,RP/CL,Vet,"$5,250,000"
8459,Kole Calhoun,34,LF,Vet,"$5,200,000"
8460,Tyler Glasnow,28,SP,Arb 3,"$5,100,000"
8461,Jose Iglesias,32,SS,Vet,"$5,000,000"
8462,Ryan McMahon,27,3B,Vet,"$5,000,000"
8463,Martin Maldonado,35,C,Vet,"$5,000,000"
8464,Omar Narvaez,30,C,Arb 3,"$5,000,000"
8465,Adam Ottavino,36,RP,Vet,"$5,000,000"
8466,Corey Dickerson,33,LF,Vet,"$5,000,000"
8467,Jack Flaherty,26,SP,Arb 2,"$5,000,000"
8468,Amed Rosario,26,SS,Arb 2,"$4,950,000"
8469,Brad Keller,26,RP,Arb 2,"$4,825,000"
8470,Hunter Dozier,30,1B,Vet,"$4,750,000"
8471,Isiah Kiner-Falefa,27,SS,Arb 2,"$4,700,000"
8472,Michael Taylor,31,CF,Vet,"$4,650,000"
8473,Will Smith,32,RP,Vet,"$4,642,857"
8474,Willy Adames,26,SS,Arb 1,"$4,600,000"
8475,Joe Wendle,32,3B,Arb 2,"$4,550,000"
8476,Ian Kennedy,37,RP,Vet,"$4,500,000"
8477,Donovan Solano,34,2B,Vet,"$4,500,000"
8478,Cesar Hernandez,32,2B,Vet,"$4,500,000"
8479,Brian Anderson,29,3B,Arb 2,"$4,475,000"
8480,Aledmys Diaz,31,SS,Arb 3,"$4,450,000"
8481,Daniel Bard,37,RP/CL,Arb 3,"$4,400,000"
8482,Drew Smyly,33,SP,Vet,"$4,250,000"
8483,Brooks Raley,34,RP,Pre-Arb,"$4,250,000"
8484,Alex Colome,33,RP,Vet,"$4,100,000"
8485,Collin McHugh,35,RP,Vet,"$4,000,000"
8486,Josh Harrison,34,2B,Vet,"$4,000,000"
8487,Austin Hedges,29,C,Arb 4,"$4,000,000"
8488,David Fletcher,28,SS,Vet,"$4,000,000"
8489,Dylan Bundy,29,SP,Vet,"$4,000,000"
8490,Craig Stammen,38,RP,Vet,"$4,000,000"
8491,Martin Perez,31,SP,Vet,"$4,000,000"
8492,Josh Hader,28,RP/CL,Arb 3,"$3,989,011"
8493,Austin Riley,25,3B,Arb 1,"$3,950,000"
8494,Raimel Tapia,28,RF,Arb 2,"$3,950,000"
8495,Seth Lugo,32,RP,Arb 3,"$3,925,000"
8496,Trevor Williams,30,RP,Arb 3,"$3,900,000"
8497,Sandy Alcantara,26,SP,Vet,"$3,800,000"
8498,Ross Stripling,32,SP,Arb 3,"$3,790,000"
8499,Tommy Kahnle,32,RP,Vet,"$3,725,000"
8500,Mike Yastrzemski,31,CF,Arb 1,"$3,700,000"
8501,Joey Gallo,28,LF,Arb 3,"$3,613,184"
8502,Alex Verdugo,26,LF,Arb 1,"$3,550,000"
8503,Raisel Iglesias,32,RP,Vet,"$3,516,480"
8504,Josh Bell,29,1B,Arb 3,"$3,516,480"
8505,Wilmer Flores,30,DH,Vet,"$3,500,000"
8506,David Phelps,35,RP,Vet,"$3,500,000"
8507,Carson Kelly,27,C,Arb 2,"$3,325,000"
8508,Luis Garcia,35,RP,Vet,"$3,250,000"
8509,Johnny Cueto,36,SP,Vet,"$3,206,452"
8510,Ji-Man Choi,31,1B,Arb 2,"$3,200,000"
8511,Kyle Farmer,31,SS,Arb 1,"$3,155,000"
8512,Anthony Santander,27,RF,Arb 2,"$3,150,000"
8513,David Peralta,34,LF,Vet,"$3,095,055"
8514,Chris Flexen,28,RP,Vet,"$3,050,000"
8515,Matthew Strahm,30,RP,Arb 3,"$3,000,000"
8516,Vincent Velasquez,30,RP,Vet,"$3,000,000"
8517,Elias Diaz,31,C,Vet,"$3,000,000"
8518,Framber Valdez,28,SP,Arb 1,"$3,000,000"
8519,Max Stassi,31,C,Vet,"$3,000,000"
8520,Dylan Floro,31,RP/CL,Arb 2,"$3,000,000"
8521,Jeff McNeil,30,2B,Arb 1,"$3,000,000"
8522,Pierce Johnson,31,RP,Pre-Arb,"$3,000,000"
8523,Jake Odorizzi,32,SP,Vet,"$2,813,187"
8524,Yandy Diaz,30,3B,Arb 1,"$2,800,000"
8525,Austin Barnes,32,C,Arb 3,"$2,750,000"
8526,Rafael Montero,31,RP,Arb 4,"$2,725,000"
8527,Chad Pinder,30,LF,Arb 3,"$2,725,000"
8528,Jorge Alfaro,29,C,Arb 2,"$2,725,000"
8529,Luis Castillo,29,SP,Arb 2,"$2,705,795"
8530,Brent Suter,32,RP,Arb 2,"$2,700,000"
8531,Trey Mancini,30,1B,Vet,"$2,678,585"
8532,Nick Pivetta,29,SP,Arb 1,"$2,650,000"
8533,Joely Rodriguez,30,RP,Pre-Arb,"$2,650,000"
8534,Reynaldo Lopez,28,RP,Arb 2,"$2,625,000"
8535,Miguel Castro,27,RP,Arb 3,"$2,620,000"
8536,Julio Rodriguez,21,CF,Pre-Arb,"$2,612,500"
8537,Christian Walker,31,1B,Arb 1,"$2,600,000"
8538,Albert Pujols,42,DH,Vet,"$2,600,000"
8539,Nicholas Lopez,27,3B,Arb 1,"$2,550,000"
8540,Luis Urias,25,2B,Pre-Arb,"$2,550,000"
8541,David Bote,29,2B,Vet,"$2,510,000"
8542,Cal Quantrill,27,SP,Arb 1,"$2,510,000"
8543,Aaron Bummer,28,RP,Vet,"$2,500,000"
8544,Freddy Peralta,26,SP,Vet,"$2,484,960"
8545,Christian Vazquez,31,C,Vet,"$2,461,568"
8546,Whit Merrifield,33,2B,Vet,"$2,461,568"
8547,Pablo Lopez,26,SP,Arb 1,"$2,450,000"
8548,Jacob Stallings,32,C,Arb 2,"$2,450,000"
8549,Eric Lauer,27,SP,Arb 1,"$2,425,000"
8550,Giovanny Gallegos,30,RP,Arb 1,"$2,410,000"
8551,Scott Barlow,29,RP/CL,Arb 1,"$2,400,000"
8552,Matt Moore,33,RP,Vet,"$2,311,852"
8553,Emilio Pagan,31,RP,Arb 2,"$2,300,000"
8554,Richard Bleier,35,RP,Vet,"$2,250,000"
8555,Tony Kemp,30,2B,Arb 2,"$2,250,000"
8556,A.J. Minter,28,RP,Arb 2,"$2,200,000"
8557,Wandy Peralta,30,RP,Arb 3,"$2,150,000"
8558,Diego Castillo,28,RP,Arb 1,"$2,150,000"
8559,Erick Fedde,29,SP,Arb 1,"$2,150,000"
8560,Luis Arraez,25,2B,Arb 1,"$2,125,000"
8561,Cavan Biggio,27,2B,Arb 1,"$2,122,500"
8562,Jordan Montgomery,29,SP,Arb 3,"$2,109,888"
8563,Ryne Stanek,30,RP,Arb 2,"$2,100,000"
8564,Amir Garrett,30,RP,Arb 2,"$2,025,000"
8565,Caleb Smith,30,RP,Arb 2,"$2,000,000"
8566,Adam Engel,30,RF,Arb 2,"$2,000,000"
8567,Zach Plesac,27,SP,Pre-Arb,"$2,000,000"
8568,Victor Caratini,28,C,Arb 2,"$2,000,000"
8569,Steve Cishek,36,RP,Vet,"$2,000,000"
8570,Anibal Sanchez,38,SP,Vet,"$2,000,000"
8571,Kevin Newman,28,SS,Arb 1,"$1,950,000"
8572,Danny Jansen,27,C,Arb 1,"$1,950,000"
8573,Rowdy Tellez,27,1B,Arb 1,"$1,940,000"
8574,Luke Voit,31,DH,Arb 2,"$1,916,480"
8575,Emmanuel Clase,24,RP/CL,Vet,"$1,900,000"
8576,Jose Cisnero,33,RP,Arb 2,"$1,900,000"
8577,Jose Alvarado,27,RP,Arb 2,"$1,900,000"
8578,Garrett Hampson,27,SS,Arb 1,"$1,862,500"
8579,Austin Slater,29,CF,Arb 2,"$1,850,000"
8580,Matt Boyd,31,RP,Arb 4,"$1,828,544"
8581,Hunter Strickland,33,RP,Vet,"$1,825,000"
8582,Jace Peterson,32,3B,Arb 4,"$1,825,000"
8583,Luis Cessa,30,SP,Arb 2,"$1,800,000"
8584,Ben Gamel,30,LF,Arb 3,"$1,800,000"
8585,Robbie Grossman,32,LF,Vet,"$1,758,272"
8586,Kurt Suzuki,38,C,Vet,"$1,750,000"
8587,Brad Boxberger,34,RP,Vet,"$1,750,000"
8588,Domingo German,29,SP,Arb 1,"$1,750,000"
8589,Charlie Culberson,33,3B,Vet,"$1,750,000"
8590,Michael Fulmer,29,RP,Arb 4,"$1,740,672"
8591,Paul Sewald,32,RP/CL,Arb 2,"$1,735,000"
8592,Jarlin Garcia,29,RP,Arb 2,"$1,725,000"
8593,Harrison Bader,28,CF,Vet,"$1,652,736"
8594,Myles Straw,27,CF,Vet,"$1,650,000"
8595,Jonathan Loaisiga,27,RP,Arb 1,"$1,650,000"
8596,Victor Robles,25,CF,Arb 1,"$1,650,000"
8597,Dinelson Lamet,29,RP,Arb 2,"$1,600,396"
8598,Orlando Arcia,27,2B,Vet,"$1,600,000"
8599,Adam Cimber,31,RP,Arb 2,"$1,575,000"
8600,Phil Maton,29,RP,Arb 2,"$1,550,000"
8601,Tyler Naquin,31,DH,Arb 3,"$1,503,820"
8602,Zach Davies,29,SP,Vet,"$1,500,000"
8603,Matt Duffy,31,3B,Arb 4,"$1,500,000"
8604,Carlos Santana,36,1B,Vet,"$1,500,000"
8605,Francisco Mejia,26,C,Arb 1,"$1,455,000"
8606,Wander Franco,21,SS,Vet,"$1,454,545"
8607,Matt Carpenter,36,3B,Vet,"$1,450,548"
8608,Franmil Reyes,26,DH,Arb 1,"$1,450,000"
8609,Jordan Luplow,28,OF,Arb 1,"$1,400,000"
8610,Tyler Matzek,31,RP,Arb 1,"$1,400,000"
8611,Ryan Brasier,34,RP,Arb 2,"$1,400,000"
8612,Victor Reyes,27,RF,Arb 1,"$1,400,000"
8613,Hanser Alberto,29,2B,Arb 3,"$1,350,000"
8614,Dylan Moore,29,2B,Arb 1,"$1,350,000"
8615,Elieser Hernandez,27,RP,Arb 1,"$1,325,000"
8616,Tim Hill,32,RP,Arb 1,"$1,325,000"
8617,Ryan O'Hearn,28,1B,Arb 1,"$1,300,000"
8618,Caleb Thielbar,35,RP,Arb 1,"$1,300,000"
8619,Harold Castro,28,3B,Pre-Arb,"$1,275,000"
8620,Luis Garcia,25,SP,Pre-Arb,"$1,251,500"
8621,Mychal Givens,32,RP,Vet,"$1,250,000"
8622,Tim Mayza,30,RP,Arb 1,"$1,250,000"
8623,Jake Diekman,35,RP,Vet,"$1,230,784"
8624,David Robertson,37,RP/CL,Vet,"$1,230,769"
8625,Christian Arroyo,27,2B,Arb 1,"$1,200,000"
8626,Josh Naylor,25,1B,Pre-Arb,"$1,200,000"
8627,Jon Berti,32,3B,Arb 1,"$1,200,000"
8628,Luis Torrens,26,C,Arb 1,"$1,200,000"
8629,Marwin Gonzalez,33,3B,Vet,"$1,150,000"
8630,Clay Holmes,29,RP/CL,Arb 1,"$1,100,000"
8631,Lou Trivino,30,RP,Arb 2,"$1,071,460"
8632,Darin Ruf,35,DH,Vet,"$1,054,976"
8633,Anthony Bass,34,RP,Vet,"$1,054,976"
8634,Tanner Scott,27,RP,Arb 1,"$1,050,000"
8635,Luke Weaver,28,RP,Arb 2,"$1,026,786"
8636,Guillermo Heredia,31,CF,Arb 3,"$1,000,000"
8637,Trevor Richards,29,RP,Arb 1,"$1,000,000"
8638,J.D. Davis,29,3B,Arb 2,"$970,560"
8639,Stephen Vogt,37,C,Vet,"$950,000"
8640,Chris Stratton,31,RP,Arb 2,"$949,440"
8641,Jeffrey Springs,29,SP,Arb 1,"$947,500"
8642,Jordan Hicks,25,RP,Arb 2,"$937,500"
8643,Andres Munoz,23,RP,Vet,"$937,000"
8644,Kyle Higashioka,32,C,Arb 1,"$935,000"
8645,Chris Martin,36,RP,Arb 2,"$934,066"
8646,Curt Casali,33,C,Arb 4,"$914,304"
8647,Taylor Hearn,27,RP,Pre-Arb,"$911,502"
8648,Lucas Luetge,35,RP,Arb 1,"$905,000"
8649,Robinson Chirinos,38,C,Vet,"$900,000"
8650,Luke Maile,31,C,Arb 3,"$900,000"
8651,Jason Adam,30,RP,Pre-Arb,"$900,000"
8652,Tomas Nido,28,C,Arb 1,"$890,000"
8653,Luis Guillorme,27,2B,Arb 1,"$875,000"
8654,John Brebbia,32,RP,Arb 2,"$837,500"
8655,Bo Bichette,24,SS,Pre-Arb,"$825,000"
8656,Miguel Diaz,27,RP,Pre-Arb,"$800,000"
8657,Yordan Alvarez,25,DH,Pre-Arb,"$764,600"
8658,Kyle Tucker,25,RF,Pre-Arb,"$764,200"
8659,Jonathan India,25,2B,Pre-Arb,"$760,000"
8660,Jake Cronenworth,28,2B,Pre-Arb,"$757,200"
8661,Dylan Cease,26,SP,Pre-Arb,"$750,000"
8662,Drew Smith,28,RP,Arb 1,"$750,000"
8663,Jalen Beeks,28,RP,Arb 1,"$750,000"
8664,Cristian Javier,25,SP,Pre-Arb,"$749,100"
8665,Jose Urquidy,27,SP,Pre-Arb,"$748,700"
8666,Zac Gallen,26,SP,Pre-Arb,"$745,600"
8667,Ty France,27,1B,Pre-Arb,"$734,500"
8668,Josh Rojas,28,3B,Pre-Arb,"$730,900"
8669,Patrick Wisdom,30,3B,Pre-Arb,"$730,000"
8670,Jaime Barria,25,RP,Pre-Arb,"$730,000"
8671,Will Smith,27,C,Pre-Arb,"$730,000"
8672,Ranger Suarez,26,SP,Pre-Arb,"$730,000"
8673,Tyler Rogers,31,RP,Pre-Arb,"$730,000"
8674,LaMonte Wade,28,LF,Pre-Arb,"$730,000"
8675,Alek Manoah,24,SP,Pre-Arb,"$730,000"
8676,Trent Grisham,25,CF,Pre-Arb,"$729,300"
8677,Harold Ramirez,27,RF,Arb 1,"$728,000"
8678,Nestor Cortes,27,SP,Pre-Arb,"$727,500"
8679,Austin Nola,32,C,Pre-Arb,"$726,900"
8680,Kyle Finnegan,30,RP/CL,Pre-Arb,"$725,900"
8681,Trevor Gott,29,RP,Arb 1,"$725,000"
8682,Sean Murphy,27,C,Pre-Arb,"$725,000"
8683,Seranthony Dominguez,27,RP/CL,Arb 1,"$725,000"
8684,JT Brubaker,28,SP,Pre-Arb,"$725,000"
8685,Mitch Keller,26,SP,Pre-Arb,"$725,000"
8686,Duane Underwood,27,RP,Pre-Arb,"$725,000"
8687,Rowan Wick,29,RP,Pre-Arb,"$724,000"
8688,Lane Thomas,26,CF,Pre-Arb,"$723,600"
8689,Santiago Espinal,27,2B,Pre-Arb,"$723,550"
8690,Tommy Edman,27,SS,Pre-Arb,"$722,900"
8691,Ryan Helsley,27,RP/CL,Pre-Arb,"$722,450"
8692,Gregory Soto,27,RP/CL,Pre-Arb,"$722,400"
8693,Daulton Varsho,25,CF,Pre-Arb,"$721,700"
8694,Kyle Wright,26,SP,Pre-Arb,"$720,000"
8695,Nico Hoerner,25,SS,Pre-Arb,"$720,000"
8696,Jose Ruiz,27,RP,Pre-Arb,"$720,000"
8697,Jimmy Herget,28,RP,Pre-Arb,"$720,000"
8698,Jose Quijada,26,RP/CL,Pre-Arb,"$720,000"
8699,Patrick Sandoval,25,SP,Pre-Arb,"$720,000"
8700,Taylor Ward,28,RF,Pre-Arb,"$720,000"
8701,Anthony Gonsolin,28,SP,Pre-Arb,"$720,000"
8702,Brusdar Graterol,23,RP,Pre-Arb,"$720,000"
8703,Gavin Lux,24,2B,Pre-Arb,"$720,000"
8704,Evan Phillips,27,RP,Pre-Arb,"$720,000"
8705,Alex Vesia,26,RP,Pre-Arb,"$720,000"
8706,Jose Trevino,29,C,Pre-Arb,"$720,000"
8707,Jonathan Hernandez,25,RP,Pre-Arb,"$720,000"
8708,Dennis Santana,26,RP,Pre-Arb,"$720,000"
8709,Bryan Abreu,25,RP,Pre-Arb,"$719,600"
8710,Andrew Knizner,27,C,Pre-Arb,"$718,300"
8711,Adbert Alzolay,27,RP,Pre-Arb,"$718,250"
8712,Joe Mantiply,31,RP,Pre-Arb,"$717,000"
8713,Aaron Civale,27,SP,Pre-Arb,"$716,900"
8714,Tyler Alexander,27,SP,Pre-Arb,"$716,900"
8715,Randy Arozarena,27,LF,Pre-Arb,"$716,600"
8716,Cedric Mullins,27,CF,Pre-Arb,"$716,500"
8717,Paolo Espino,35,SP,Pre-Arb,"$716,200"
8718,Nate Lowe,26,1B,Pre-Arb,"$716,000"
8719,Andrew Vaughn,24,DH,Pre-Arb,"$715,000"
8720,Jesus Luzardo,24,SP,Pre-Arb,"$715,000"
8721,Alec Bohm,25,3B,Pre-Arb,"$715,000"
8722,David Bednar,27,RP/CL,Pre-Arb,"$715,000"
8723,Thairo Estrada,26,2B,Pre-Arb,"$715,000"
8724,Devin Williams,27,RP/CL,Pre-Arb,"$714,500"
8725,Pete Fairbanks,28,RP,Pre-Arb,"$714,400"
8726,Jose Quintana,33,SP,Vet,"$714,285"
8727,Brock Burke,25,RP,Pre-Arb,"$714,000"
8728,Adolis Garcia,29,RF,Pre-Arb,"$714,000"
8729,Jonah Heim,27,C,Pre-Arb,"$714,000"
8730,Alejandro Kirk,23,C,Pre-Arb,"$714,000"
8731,Ryan Jeffers,25,C,Pre-Arb,"$713,050"
8732,Austin Hays,26,LF,Pre-Arb,"$713,000"
8733,Logan Gilbert,25,SP,Pre-Arb,"$712,300"
8734,Drew Rasmussen,26,SP,Pre-Arb,"$711,800"
8735,Erik Swanson,28,RP,Pre-Arb,"$711,600"
8736,Dillon Tate,28,RP,Pre-Arb,"$711,500"
8737,Shane McClanahan,25,SP,Pre-Arb,"$711,400"
8738,Tyrone Taylor,28,CF,Pre-Arb,"$711,100"
8739,Ryan Mountcastle,25,1B,Pre-Arb,"$711,000"
8740,James Karinchak,26,RP,Pre-Arb,"$710,606"
8741,J.T. Chargois,31,RP,Pre-Arb,"$710,500"
8742,Eric Haase,29,C,Pre-Arb,"$710,400"
8743,Jordan Romano,29,RP/CL,Pre-Arb,"$710,400"
8744,Jake Fraley,27,LF,Pre-Arb,"$710,000"
8745,Austin Gomber,28,RP,Pre-Arb,"$710,000"
8746,Brendan Rodgers,25,2B,Pre-Arb,"$710,000"
8747,Jorge Mateo,27,SS,Pre-Arb,"$709,500"
8748,Tylor Megill,26,RP,Pre-Arb,"$707,500"
8749,Albert Abreu,26,RP,Pre-Arb,"$707,500"
8750,Triston McKenzie,24,SP,Pre-Arb,"$707,100"
8751,Nick Gordon,26,SS,Pre-Arb,"$706,800"
8752,Andres Gimenez,23,2B,Pre-Arb,"$706,600"
8753,Bailey Ober,26,SP,Pre-Arb,"$706,200"
8754,Keegan Thompson,27,SP,Pre-Arb,"$706,000"
8755,Dean Kremer,26,SP,Pre-Arb,"$705,500"
8756,Edward Olivares,26,OF,Pre-Arb,"$705,500"
8757,Hoby Milner,31,RP,Arb 1,"$705,100"
8758,Cionel Perez,26,RP,Pre-Arb,"$705,000"
8759,Yonathan Daza,28,CF,Pre-Arb,"$705,000"
8760,Seth Brown,29,LF,Pre-Arb,"$705,000"
8761,Cole Irvin,28,SP,Pre-Arb,"$705,000"
8762,James Kaprielian,28,SP,Pre-Arb,"$705,000"
8763,A.J. Puk,27,RP,Pre-Arb,"$705,000"
8764,Zach Thompson,28,RP,Pre-Arb,"$705,000"
8765,Aaron Ashby,24,SP,Pre-Arb,"$704,500"
8766,Garrett Stubbs,29,C,Pre-Arb,"$704,500"
8767,Adrian Morejon,23,RP,Pre-Arb,"$704,500"
8768,Taylor Walls,25,SS,Pre-Arb,"$704,000"
8769,Joe Barlow,26,RP,Pre-Arb,"$704,000"
8770,Camilo Doval,24,RP/CL,Pre-Arb,"$703,750"
8771,Alex Lange,26,RP,Pre-Arb,"$703,700"
8772,Daniel Lynch,25,SP,Pre-Arb,"$703,600"
8773,Josiah Gray,24,SP,Pre-Arb,"$703,500"
8774,Trevor Stephan,26,RP,Pre-Arb,"$703,400"
8775,Dylan Carlson,23,RF,Pre-Arb,"$703,000"
8776,Sam Hentges,25,RP,Pre-Arb,"$702,500"
8777,Eli Morgan,26,RP,Pre-Arb,"$702,100"
8778,Joe Ryan,26,SP,Pre-Arb,"$701,650"
8779,Keegan Akin,27,RP,Pre-Arb,"$701,640"
8780,Geraldo Perdomo,22,SS,Pre-Arb,"$701,300"
8781,Owen Miller,25,1B,Pre-Arb,"$701,100"
8782,Dylan Coleman,25,RP,Pre-Arb,"$700,650"
8783,Bryan Baker,27,RP,Pre-Arb,"$700,500"
8784,Rougned Odor,28,2B,Vet,"$700,000"
8785,Javier Assad,24,SP,Pre-Arb,"$700,000"
8786,Chase Anderson,34,SP,Vet,"$700,000"
8787,Fernando Cruz,0,RP,Pre-Arb,"$700,000"
8788,Alexis Diaz,25,RP/CL,Pre-Arb,"$700,000"
8789,Hunter Greene,22,SP,Pre-Arb,"$700,000"
8790,Derek Law,31,RP,Arb 1,"$700,000"
8791,Steven Kwan,24,LF,Pre-Arb,"$700,000"
8792,Cody Morris,25,SP,Pre-Arb,"$700,000"
8793,Daniel Norris,29,RP,Vet,"$700,000"
8794,Jeremy Pena,24,SS,Pre-Arb,"$700,000"
8795,Bobby Witt Jr.,22,SS,Pre-Arb,"$700,000"
8796,Jhoan Duran,24,RP,Pre-Arb,"$700,000"
8797,Billy Hamilton,31,CF,Vet,"$700,000"
8798,Domingo Acevedo,28,RP,Pre-Arb,"$700,000"
8799,Andre Pallante,23,RP,Pre-Arb,"$700,000"
8800,Shawn Armstrong,31,RP,Arb 2,"$700,000"
8801,Kevin Plawecki,31,C,Arb 4,"$700,000"
8802,Joey Meneses,30,1B,Pre-Arb,"$700,000"
8803,Michael Brosseau,28,3B,Pre-Arb,"$698,580"
8804,Will Vest,27,RP,Pre-Arb,"$696,126"
8805,Chas McCormick,27,CF,Pre-Arb,"$696,060"
8806,Kyle Isbel,25,RF,Pre-Arb,"$694,260"
8807,Gilberto Celestino,23,LF,Pre-Arb,"$687,436"
8808,Cal Raleigh,25,C,Pre-Arb,"$683,574"
8809,Jackson Stephens,28,RP,Pre-Arb,"$680,742"
8810,Griffin Jax,27,RP,Pre-Arb,"$680,742"
8811,Caleb Ferguson,25,RP,Arb 1,"$678,640"
8812,Nick Lodolo,24,SP,Pre-Arb,"$673,050"
8813,Andrew Bellatti,30,RP,Pre-Arb,"$673,050"
8814,Gavin Sheets,26,DH,Pre-Arb,"$671,067"
8815,Bryson Stott,24,2B,Pre-Arb,"$669,204"
8816,Ryan McKenna,25,CF,Pre-Arb,"$669,164"
8817,William Contreras,24,C,Pre-Arb,"$667,071"
8818,Steven Wilson,27,RP,Pre-Arb,"$665,358"
8819,Hunter Harvey,27,RP,Pre-Arb,"$661,512"
8820,Brady Singer,25,SP,Pre-Arb,"$650,370"
8821,Nick Sandlin,25,RP,Pre-Arb,"$647,640"
8822,Reid Detmers,22,SP,Pre-Arb,"$647,566"
8823,Jason Foley,26,RP,Pre-Arb,"$647,472"
