,Active Players,Age,Pos.,Status,Adj. Salary
11769,Jason Adam,30,RP,Pre-Arb,"$900,000"
11770,Tomas Nido,28,C,Arb 1,"$890,000"
11771,Luis Guillorme,27,2B,Arb 1,"$875,000"
11772,John Brebbia,32,RP,Arb 2,"$837,500"
11773,Bo Bichette,24,SS,Pre-Arb,"$825,000"
11774,Miguel Diaz,27,RP,Pre-Arb,"$800,000"
11775,Yordan Alvarez,25,DH,Pre-Arb,"$764,600"
11776,Kyle Tucker,25,RF,Pre-Arb,"$764,200"
11777,Jonathan India,25,2B,Pre-Arb,"$760,000"
11778,Jake Cronenworth,28,2B,Pre-Arb,"$757,200"
11779,Dylan Cease,26,SP,Pre-Arb,"$750,000"
11780,Drew Smith,28,RP,Arb 1,"$750,000"
11781,Jalen Beeks,28,RP,Arb 1,"$750,000"
11782,Cristian Javier,25,SP,Pre-Arb,"$749,100"
11783,Jose Urquidy,27,SP,Pre-Arb,"$748,700"
11784,Zac Gallen,26,SP,Pre-Arb,"$745,600"
11785,Ty France,27,1B,Pre-Arb,"$734,500"
11786,Josh Rojas,28,3B,Pre-Arb,"$730,900"
11787,Patrick Wisdom,30,3B,Pre-Arb,"$730,000"
11788,Jaime Barria,25,RP,Pre-Arb,"$730,000"
11789,Will Smith,27,C,Pre-Arb,"$730,000"
11790,Ranger Suarez,26,SP,Pre-Arb,"$730,000"
11791,Tyler Rogers,31,RP,Pre-Arb,"$730,000"
11792,LaMonte Wade,28,LF,Pre-Arb,"$730,000"
11793,Alek Manoah,24,SP,Pre-Arb,"$730,000"
11794,Trent Grisham,25,CF,Pre-Arb,"$729,300"
11795,Harold Ramirez,27,RF,Arb 1,"$728,000"
11796,Nestor Cortes,27,SP,Pre-Arb,"$727,500"
11797,Austin Nola,32,C,Pre-Arb,"$726,900"
11798,Kyle Finnegan,30,RP/CL,Pre-Arb,"$725,900"
11799,Trevor Gott,29,RP,Arb 1,"$725,000"
11800,Sean Murphy,27,C,Pre-Arb,"$725,000"
11801,Seranthony Dominguez,27,RP/CL,Arb 1,"$725,000"
11802,JT Brubaker,28,SP,Pre-Arb,"$725,000"
11803,Mitch Keller,26,SP,Pre-Arb,"$725,000"
11804,Duane Underwood,27,RP,Pre-Arb,"$725,000"
11805,Rowan Wick,29,RP,Pre-Arb,"$724,000"
11806,Lane Thomas,26,CF,Pre-Arb,"$723,600"
11807,Santiago Espinal,27,2B,Pre-Arb,"$723,550"
11808,Tommy Edman,27,SS,Pre-Arb,"$722,900"
11809,Ryan Helsley,27,RP/CL,Pre-Arb,"$722,450"
11810,Gregory Soto,27,RP/CL,Pre-Arb,"$722,400"
11811,Daulton Varsho,25,CF,Pre-Arb,"$721,700"
11812,Kyle Wright,26,SP,Pre-Arb,"$720,000"
11813,Nico Hoerner,25,SS,Pre-Arb,"$720,000"
11814,Jose Ruiz,27,RP,Pre-Arb,"$720,000"
11815,Jimmy Herget,28,RP,Pre-Arb,"$720,000"
11816,Jose Quijada,26,RP/CL,Pre-Arb,"$720,000"
11817,Patrick Sandoval,25,SP,Pre-Arb,"$720,000"
11818,Taylor Ward,28,RF,Pre-Arb,"$720,000"
11819,Anthony Gonsolin,28,SP,Pre-Arb,"$720,000"
11820,Brusdar Graterol,23,RP,Pre-Arb,"$720,000"
11821,Gavin Lux,24,2B,Pre-Arb,"$720,000"
11822,Evan Phillips,27,RP,Pre-Arb,"$720,000"
11823,Alex Vesia,26,RP,Pre-Arb,"$720,000"
